year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party,writein,candidatevotes,totalvotes,version,notes
2000,Alabama,AL,1,63,41,US President,"Bush, George W.",republican,FALSE,941173,1666272,20171015,NA
2000,Alabama,AL,1,63,41,US President,"Gore, Al",democrat,FALSE,692611,1666272,20171015,NA
2000,Alabama,AL,1,63,41,US President,,independent,FALSE,25896,1666272,20171015,NA
2000,Alabama,AL,1,63,41,US President,"Browne, Harry",libertarian,FALSE,5893,1666272,20171015,NA
2000,Alabama,AL,1,63,41,US President,,,TRUE,699,1666272,20171015,NA
2000,Alaska,AK,2,94,81,US President,"Bush, George W.",republican,FALSE,167398,285560,20171015,NA
2000,Alaska,AK,2,94,81,US President,"Gore, Al",democrat,FALSE,79004,285560,20171015,NA
2000,Alaska,AK,2,94,81,US President,"Nader, Ralph",green,FALSE,28747,285560,20171015,NA
2000,Alaska,AK,2,94,81,US President,"Buchanan, Patrick """"Pat""""",reform party,FALSE,5192,285560,20171015,NA
2000,Alaska,AK,2,94,81,US President,"Browne, Harry",libertarian,FALSE,2636,285560,20171015,NA
2000,Alaska,AK,2,94,81,US President,,,TRUE,1068,285560,20171015,NA
2000,Alaska,AK,2,94,81,US President,"Hagelin, John",natural law,FALSE,919,285560,20171015,NA
2000,Alaska,AK,2,94,81,US President,"Phillips, Howard",constitution party,FALSE,596,285560,20171015,NA
2000,Arizona,AZ,4,86,61,US President,"Bush, George W.",republican,FALSE,781652,1532016,20171015,NA
2000,Arizona,AZ,4,86,61,US President,"Gore, Al",democrat,FALSE,685341,1532016,20171015,NA
2000,Arizona,AZ,4,86,61,US President,"Nader, Ralph",green,FALSE,45645,1532016,20171015,NA
2000,Arizona,AZ,4,86,61,US President,"Buchanan, Patrick """"Pat""""",reform party,FALSE,12373,1532016,20171015,NA
2000,Arizona,AZ,4,86,61,US President,"L. Neil, Smith",libertarian,FALSE,5775,1532016,20171015,NA
2000,Arizona,AZ,4,86,61,US President,"Hagelin, John",natural law,FALSE,1120,1532016,20171015,NA
2000,Arizona,AZ,4,86,61,US President,,,TRUE,110,1532016,20171015,NA
2000,Arkansas,AR,5,71,42,US President,"Bush, George W.",republican,FALSE,472940,921781,20171015,NA
2000,Arkansas,AR,5,71,42,US President,"Gore, Al",democrat,FALSE,422768,921781,20171015,NA
2000,Arkansas,AR,5,71,42,US President,"Nader, Ralph",green,FALSE,13421,921781,20171015,NA
2000,Arkansas,AR,5,71,42,US President,"Buchanan, Patrick """"Pat""""",reform party,FALSE,7358,921781,20171015,NA
2000,Arkansas,AR,5,71,42,US President,"Browne, Harry",libertarian,FALSE,2781,921781,20171015,NA
2000,Arkansas,AR,5,71,42,US President,"Phillips, Howard",constitution party,FALSE,1415,921781,20171015,NA
2000,Arkansas,AR,5,71,42,US President,"Hagelin, John",natural law,FALSE,1098,921781,20171015,NA
2000,California,CA,6,93,71,US President,"Gore, Al",democrat,FALSE,5861203,10965822,20171015,NA
2000,California,CA,6,93,71,US President,"Bush, George W.",republican,FALSE,4567429,10965822,20171015,NA
2000,California,CA,6,93,71,US President,"Nader, Ralph",green,FALSE,418707,10965822,20171015,NA
2000,California,CA,6,93,71,US President,"Browne, Harry",libertarian,FALSE,45520,10965822,20171015,NA
2000,California,CA,6,93,71,US President,"Buchanan, Patrick """"Pat""""",reform party,FALSE,44987,10965822,20171015,NA
2000,California,CA,6,93,71,US President,"Phillips, Howard",american independent party,FALSE,17042,10965822,20171015,NA
2000,California,CA,6,93,71,US President,"Hagelin, John",natural law,FALSE,10934,10965822,20171015,NA
2000,Colorado,CO,8,84,62,US President,"Bush, George W.",republican,FALSE,883748,1741368,20171015,NA
2000,Colorado,CO,8,84,62,US President,"Gore, Al",democrat,FALSE,738227,1741368,20171015,NA
2000,Colorado,CO,8,84,62,US President,"Nader, Ralph",green,FALSE,91434,1741368,20171015,NA
2000,Colorado,CO,8,84,62,US President,"Browne, Harry",libertarian,FALSE,12799,1741368,20171015,NA
2000,Colorado,CO,8,84,62,US President,"Hagelin, John",freedom,FALSE,10465,1741368,20171015,NA
2000,Colorado,CO,8,84,62,US President,"Hagelin, John",natural law,FALSE,2240,1741368,20171015,NA
2000,Colorado,CO,8,84,62,US President,"Phillips, Howard",constitution party,FALSE,1319,1741368,20171015,NA
2000,Colorado,CO,8,84,62,US President,"McReynolds, David",socialist,FALSE,712,1741368,20171015,NA
2000,Colorado,CO,8,84,62,US President,"Harris, James",socialist workers,FALSE,216,1741368,20171015,NA
2000,Colorado,CO,8,84,62,US President,"Dodge, Earl",prohibition,FALSE,208,1741368,20171015,NA
2000,Connecticut,CT,9,16,1,US President,"Gore, Al",democrat,FALSE,816015,1459525,20171015,NA
2000,Connecticut,CT,9,16,1,US President,"Bush, George W.",republican,FALSE,561094,1459525,20171015,NA
2000,Connecticut,CT,9,16,1,US President,"Nader, Ralph",green,FALSE,64452,1459525,20171015,NA
2000,Connecticut,CT,9,16,1,US President,"Phillips, Howard",concerned citizens,FALSE,9695,1459525,20171015,NA
2000,Connecticut,CT,9,16,1,US President,"Buchanan, Patrick """"Pat""""",reform party,FALSE,4731,1459525,20171015,NA
2000,Connecticut,CT,9,16,1,US President,"Browne, Harry",libertarian,FALSE,3484,1459525,20171015,NA
2000,Connecticut,CT,9,16,1,US President,,,TRUE,54,1459525,20171015,NA
2000,Delaware,DE,10,51,11,US President,"Gore, Al",democrat,FALSE,180068,327529,20171015,NA
2000,Delaware,DE,10,51,11,US President,"Bush, George W.",republican,FALSE,137288,327529,20171015,NA
2000,Delaware,DE,10,51,11,US President,"Nader, Ralph",green,FALSE,8307,327529,20171015,NA
2000,Delaware,DE,10,51,11,US President,"Buchanan, Patrick """"Pat""""",reform party,FALSE,777,327529,20171015,NA
2000,Delaware,DE,10,51,11,US President,"Browne, Harry",libertarian,FALSE,774,327529,20171015,NA
2000,Delaware,DE,10,51,11,US President,"Phillips, Howard",constitution party,FALSE,208,327529,20171015,NA
2000,Delaware,DE,10,51,11,US President,"Hagelin, John",natural law,FALSE,107,327529,20171015,NA
2000,District of Columbia,DC,11,53,55,US President,"Gore, Al",democrat,FALSE,171923,201894,20171015,NA
2000,District of Columbia,DC,11,53,55,US President,"Bush, George W.",republican,FALSE,18073,201894,20171015,NA
2000,District of Columbia,DC,11,53,55,US President,"Nader, Ralph",green,FALSE,10576,201894,20171015,NA
2000,District of Columbia,DC,11,53,55,US President,"Browne, Harry",libertarian,FALSE,669,201894,20171015,NA
2000,District of Columbia,DC,11,53,55,US President,,,TRUE,539,201894,20171015,NA
2000,District of Columbia,DC,11,53,55,US President,"Harris, James",socialist workers,FALSE,114,201894,20171015,NA
2000,Florida,FL,12,59,43,US President,"Bush, George W.",republican,FALSE,2912790,5963110,20171015,NA
2000,Florida,FL,12,59,43,US President,"Gore, Al",democrat,FALSE,2912253,5963110,20171015,NA
2000,Florida,FL,12,59,43,US President,"Nader, Ralph",green,FALSE,97488,5963110,20171015,NA
2000,Florida,FL,12,59,43,US President,"Buchanan, Patrick """"Pat""""",reform party,FALSE,17484,5963110,20171015,NA
2000,Florida,FL,12,59,43,US President,"Browne, Harry",libertarian,FALSE,16415,5963110,20171015,NA
2000,Florida,FL,12,59,43,US President,"Hagelin, John",natural law,FALSE,2281,5963110,20171015,NA
2000,Florida,FL,12,59,43,US President,"Moorehead, Monica",workers world,FALSE,1804,5963110,20171015,NA
2000,Florida,FL,12,59,43,US President,"Phillips, Howard",constitution party,FALSE,1371,5963110,20171015,NA
2000,Florida,FL,12,59,43,US President,"McReynolds, David",socialist,FALSE,622,5963110,20171015,NA
2000,Florida,FL,12,59,43,US President,"Harris, James",socialist workers,FALSE,562,5963110,20171015,NA
2000,Florida,FL,12,59,43,US President,,,TRUE,40,5963110,20171015,NA
2000,Georgia,GA,13,58,44,US President,"Bush, George W.",republican,FALSE,1419720,2583208,20171015,NA
2000,Georgia,GA,13,58,44,US President,"Gore, Al",democrat,FALSE,1116230,2583208,20171015,NA
2000,Georgia,GA,13,58,44,US President,"Browne, Harry",libertarian,FALSE,36332,2583208,20171015,NA
2000,Georgia,GA,13,58,44,US President,"Buchanan, Patrick """"Pat""""",independent,FALSE,10926,2583208,20171015,NA
2000,Hawaii,HI,15,95,82,US President,"Gore, Al",democrat,FALSE,205286,367951,20171015,NA
2000,Hawaii,HI,15,95,82,US President,"Bush, George W.",republican,FALSE,137845,367951,20171015,NA
2000,Hawaii,HI,15,95,82,US President,"Nader, Ralph",green,FALSE,21623,367951,20171015,NA
2000,Hawaii,HI,15,95,82,US President,"Browne, Harry",libertarian,FALSE,1477,367951,20171015,NA
2000,Hawaii,HI,15,95,82,US President,"Buchanan, Patrick """"Pat""""",reform party,FALSE,1071,367951,20171015,NA
2000,Hawaii,HI,15,95,82,US President,"Phillips, Howard",constitution party,FALSE,343,367951,20171015,NA
2000,Hawaii,HI,15,95,82,US President,"Hagelin, John",natural law,FALSE,306,367951,20171015,NA
2000,Idaho,ID,16,82,63,US President,"Bush, George W.",republican,FALSE,336937,501615,20171015,NA
2000,Idaho,ID,16,82,63,US President,"Gore, Al",democrat,FALSE,138637,501615,20171015,NA
2000,Idaho,ID,16,82,63,US President,"Nader, Ralph",green,TRUE,12292,501615,20171015,NA
2000,Idaho,ID,16,82,63,US President,"Buchanan, Patrick """"Pat""""",reform party,FALSE,7615,501615,20171015,NA
2000,Idaho,ID,16,82,63,US President,"Browne, Harry",libertarian,FALSE,3488,501615,20171015,NA
2000,Idaho,ID,16,82,63,US President,"Phillips, Howard",constitution party,FALSE,1469,501615,20171015,NA
2000,Idaho,ID,16,82,63,US President,"Hagelin, John",natural law,FALSE,1177,501615,20171015,NA
2000,Illinois,IL,17,33,21,US President,"Gore, Al",democrat,FALSE,2589026,4742108,20171015,NA
2000,Illinois,IL,17,33,21,US President,"Bush, George W.",republican,FALSE,2019421,4742108,20171015,NA
2000,Illinois,IL,17,33,21,US President,"Nader, Ralph",green,FALSE,103759,4742108,20171015,NA
2000,Illinois,IL,17,33,21,US President,,independent,FALSE,16106,4742108,20171015,NA
2000,Illinois,IL,17,33,21,US President,"Browne, Harry",libertarian,FALSE,11623,4742108,20171015,NA
2000,Illinois,IL,17,33,21,US President,"Buchanan, Patrick """"Pat""""",reform party,FALSE,2127,4742108,20171015,NA
2000,Illinois,IL,17,33,21,US President,,,TRUE,46,4742108,20171015,NA
2000,Indiana,IN,18,32,22,US President,"Bush, George W.",republican,FALSE,1245836,2199302,20171015,NA
2000,Indiana,IN,18,32,22,US President,"Gore, Al",democrat,FALSE,901980,2199302,20171015,NA
2000,Indiana,IN,18,32,22,US President,,,TRUE,18997,2199302,20171015,NA
2000,Indiana,IN,18,32,22,US President,"Buchanan, Patrick """"Pat""""",independent,FALSE,16959,2199302,20171015,NA
2000,Indiana,IN,18,32,22,US President,"Browne, Harry",libertarian,FALSE,15530,2199302,20171015,NA
2000,Iowa,IA,19,42,31,US President,"Gore, Al",democrat,FALSE,638517,1353022,20171015,NA
2000,Iowa,IA,19,42,31,US President,"Bush, George W.",republican,FALSE,634373,1353022,20171015,NA
2000,Iowa,IA,19,42,31,US President,,independent,FALSE,37459,1353022,20171015,NA
2000,Iowa,IA,19,42,31,US President,"Nader, Ralph",green,FALSE,29374,1353022,20171015,NA
2000,Iowa,IA,19,42,31,US President,"Buchanan, Patrick """"Pat""""",reform party,FALSE,5731,1353022,20171015,NA
